crypto,regime,n_epochs,avg_bias,avg_volatility,avg_momentum,up_pct
btc,0,182,0.5208333333333333,0.11202135871505783,0.08773485037446291,0.4835164835164835
btc,1,363,0.5113636363636364,0.13003303215867704,-0.13441615034550605,0.5234159779614325
btc,2,153,0.5059912854030502,0.08911082336551207,-0.38808220568188767,0.5228758169934641
eth,0,24,0.5434027777777778,0.6860748635090994,-0.09011925675310684,0.5
eth,1,414,0.5160024154589372,0.13453840404568884,-0.027703141947335634,0.5072463768115942
eth,2,260,0.5110576923076923,0.15578926327386902,-0.3430885681078402,0.5269230769230769
sol,0,290,0.5310344827586206,0.16820342234333643,0.10025646865597883,0.5241379310344828
sol,1,215,0.46201550387596896,0.287189930916839,-0.17233202938682798,0.4325581395348837
sol,2,193,0.5565630397236614,0.1222456079059992,-0.3004164842419279,0.5958549222797928
xrp,0,210,0.5079365079365079,0.1972050997719664,0.1214720378792767,0.4714285714285714
xrp,1,167,0.5179640718562875,0.18642560578645295,-0.39648957182948974,0.5449101796407185
xrp,2,321,0.4993509865005192,0.19194306236672512,-0.11710421254091574,0.5109034267912772
