crypto,session,hours,n_epochs,predicted_direction,win_rate,edge_pct,kelly_fraction,avg_volatility,risk_adjusted_edge
btc,Asian,00-08 UTC,224,Down,0.5133928571428572,1.3392857142857206,0.026785714285714413,0.09698258108258462,0.13809549089493342
btc,European,08-16 UTC,253,Up,0.5375494071146245,3.754940711462451,0.07509881422924902,0.1726075948555596,0.21754203310721276
btc,US,16-24 UTC,244,Down,0.5,0.0,0.0,0.12065626977289583,0.0
eth,Asian,00-08 UTC,224,Down,0.5133928571428572,1.3392857142857206,0.026785714285714413,0.12251159843565976,0.10931909561110513
eth,European,08-16 UTC,253,Down,0.5059288537549407,0.5928853754940677,0.011857707509881354,0.2152766302398207,0.027540628763725372
eth,US,16-24 UTC,244,Up,0.5450819672131147,4.508196721311474,0.0901639344262295,0.16869986782374274,0.2672317874025621
sol,Asian,00-08 UTC,224,Up,0.5178571428571429,1.7857142857142905,0.03571428571428581,0.16450831054532214,0.1085485760442677
sol,European,08-16 UTC,253,Up,0.5138339920948617,1.3833992094861691,0.027667984189723382,0.2827938826638,0.048918993454000054
sol,US,16-24 UTC,244,Up,0.5040983606557377,0.4098360655737654,0.008196721311475308,0.21688387368045442,0.018896567025430248
xrp,Asian,00-08 UTC,224,Down,0.5223214285714286,2.2321428571428603,0.044642857142857206,0.18044380610573052,0.12370293585111715
xrp,European,08-16 UTC,253,Up,0.5177865612648221,1.7786561264822143,0.035573122529644285,0.291877581509293,0.060938428956578986
xrp,US,16-24 UTC,244,Up,0.5040983606557377,0.4098360655737654,0.008196721311475308,0.2225628732881104,0.018414394976076155
