crypto,from_state,to_state,probability,count
btc,Bullish,Bullish,0.7837837837837838,58
btc,Bullish,Neutral,0.21621621621621623,16
btc,Bullish,Bearish,0.0,0
btc,Neutral,Bullish,0.0273972602739726,16
btc,Neutral,Neutral,0.9537671232876712,557
btc,Neutral,Bearish,0.018835616438356163,11
btc,Bearish,Bullish,0.0,0
btc,Bearish,Neutral,0.28205128205128205,11
btc,Bearish,Bearish,0.717948717948718,28
eth,Bullish,Bullish,0.8294573643410853,107
eth,Bullish,Neutral,0.17054263565891473,22
eth,Bullish,Bearish,0.0,0
eth,Neutral,Bullish,0.045548654244306416,22
eth,Neutral,Neutral,0.9151138716356108,442
eth,Neutral,Bearish,0.039337474120082816,19
eth,Bearish,Bullish,0.0,0
eth,Bearish,Neutral,0.2235294117647059,19
eth,Bearish,Bearish,0.7764705882352941,66
sol,Bullish,Bullish,0.8865248226950354,125
sol,Bullish,Neutral,0.11347517730496454,16
sol,Bullish,Bearish,0.0,0
sol,Neutral,Bullish,0.032520325203252036,16
sol,Neutral,Neutral,0.9451219512195121,465
sol,Neutral,Bearish,0.022357723577235773,11
sol,Bearish,Bullish,0.0,0
sol,Bearish,Neutral,0.171875,11
sol,Bearish,Bearish,0.828125,53
xrp,Bullish,Bullish,0.7473684210526316,71
xrp,Bullish,Neutral,0.25263157894736843,24
xrp,Bullish,Bearish,0.0,0
xrp,Neutral,Bullish,0.047619047619047616,24
xrp,Neutral,Neutral,0.9186507936507936,463
xrp,Neutral,Bearish,0.03373015873015873,17
xrp,Bearish,Bullish,0.0,0
xrp,Bearish,Neutral,0.1836734693877551,18
xrp,Bearish,Bearish,0.8163265306122449,80
